,Unidade,2020,2021,2022,2023,2024,Tipo Vaga
191,2-84,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
192,2-85,Descoberta,Coberta,Descoberta,Coberta,Descoberta,Regular
193,2-86,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
194,2-91,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
195,2-92,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
196,2-93,Descoberta,Descoberta,Descoberta,Coberta,,Regular
197,2-94,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
198,2-95,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
199,2-96,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
200,3-1,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
201,3-101,Descoberta,Coberta,Descoberta,Descoberta,,Regular
202,3-102,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
203,3-103,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
204,3-104,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
205,3-105,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
206,3-106,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
207,3-11,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
208,3-111,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
209,3-112,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
210,3-113,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
211,3-114,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
212,3-115,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
213,3-116,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
214,3-12,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
215,3-121,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
216,3-122,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
217,3-123,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
218,3-124,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
219,3-125,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
220,3-126,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
221,3-13,Descoberta,Coberta,Coberta,Descoberta,Descoberta,Regular
222,3-131,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
223,3-132,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
224,3-133,Descoberta,Coberta,Descoberta,Descoberta,Coberta,Regular
225,3-134,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
226,3-135,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
227,3-136,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
228,3-14,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
229,3-141,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
230,3-142,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
231,3-143,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
232,3-144,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
233,3-145,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
234,3-146,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
235,3-15,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
236,3-151,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
237,3-152,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
238,3-153,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
